Ref_Date,GEO,DWELCODE,FUELTYPE,CONSUMPTION,Vector,Coordinate,Value
2011,Canada,Single-detached,"Total, all energy types",Gigajoules,v101904406,1.1.1.1,944421514
2013,Canada,Single-detached,"Total, all energy types",Gigajoules,v101904406,1.1.1.1,968383789
2015,Canada,Single-detached,"Total, all energy types",Gigajoules,v101904406,1.1.1.1,917854816
2011,Canada,Single-detached,"Total, all energy types",Gigajoules per household,v101904407,1.1.1.2,115.3
2013,Canada,Single-detached,"Total, all energy types",Gigajoules per household,v101904407,1.1.1.2,118.4
2015,Canada,Single-detached,"Total, all energy types",Gigajoules per household,v101904407,1.1.1.2,112.2
2011,Canada,Single-detached,"Total, all energy types",Number of households,v101904408,1.1.1.4,8191007
2013,Canada,Single-detached,"Total, all energy types",Number of households,v101904408,1.1.1.4,8178162
2015,Canada,Single-detached,"Total, all energy types",Number of households,v101904408,1.1.1.4,8182823
2011,Canada,Single-detached,Electricity,Gigajoules,v101904409,1.1.2.1,396962347
2013,Canada,Single-detached,Electricity,Gigajoules,v101904409,1.1.2.1,403808181
2015,Canada,Single-detached,Electricity,Gigajoules,v101904409,1.1.2.1,390872565
2011,Canada,Single-detached,Electricity,Gigajoules per household,v101904410,1.1.2.2,48.5
2013,Canada,Single-detached,Electricity,Gigajoules per household,v101904410,1.1.2.2,49.4
2015,Canada,Single-detached,Electricity,Gigajoules per household,v101904410,1.1.2.2,47.8
2011,Canada,Single-detached,Electricity,Proportion of total energy (percent),v101904411,1.1.2.3,42
2013,Canada,Single-detached,Electricity,Proportion of total energy (percent),v101904411,1.1.2.3,41.7
2015,Canada,Single-detached,Electricity,Proportion of total energy (percent),v101904411,1.1.2.3,42.6
2011,Canada,Single-detached,Electricity,Number of households,v101904412,1.1.2.4,8191007
2013,Canada,Single-detached,Electricity,Number of households,v101904412,1.1.2.4,8178162
2015,Canada,Single-detached,Electricity,Number of households,v101904412,1.1.2.4,8182823
2011,Canada,Single-detached,Natural gas,Gigajoules,v101904413,1.1.3.1,497719040
2013,Canada,Single-detached,Natural gas,Gigajoules,v101904413,1.1.3.1,511286680
2015,Canada,Single-detached,Natural gas,Gigajoules,v101904413,1.1.3.1,486029605
2011,Canada,Single-detached,Natural gas,Gigajoules per household,v101904414,1.1.3.2,101.6
2013,Canada,Single-detached,Natural gas,Gigajoules per household,v101904414,1.1.3.2,103.4
2015,Canada,Single-detached,Natural gas,Gigajoules per household,v101904414,1.1.3.2,93.8
2011,Canada,Single-detached,Natural gas,Proportion of total energy (percent),v101904415,1.1.3.3,52.7
2013,Canada,Single-detached,Natural gas,Proportion of total energy (percent),v101904415,1.1.3.3,52.8
