"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","EF","TYPE_LABEL_EN","TYPE_LABEL_FR","VOLTAGE_LABEL_EN","VOLTAGE_LABEL_FR","CAPACITY","DRY_CONTROL_LABEL_EN","DRY_CONTROL_LABEL_FR"
120481,"PCKS433ET#**","GE",430,1.4,"Compact","Compacte","240 V","240 V",102,"Auto temperature","Automatique de température"
120924,"PCKS443EB#**","GE",430,1.32,"Compact","Compacte","240 V","240 V",101,"Auto temperature","Automatique de température"
216076,"PSKP333EB#**","GE",398,1.44,"Compact","Compacte","120 V","120 V",101,"Auto temperature","Automatique de température"
216077,"PSKS333EB#**","GE",398,1.44,"Compact","Compacte","120 V","120 V",101,"Auto temperature","Automatique de température"
218837,"LDR3822P#**","Whirlpool",398,1.42,"Compact","Compacte","120 V","120 V",96,"auto moisture","Automatique de l'humidité"
368832,"LEZ27","Huebsch",940,1.41,"Standard","Ordinaire","240 V","240 V",198,"Auto temperature","Automatique de température"
373484,"PT7136","Miele",941,1.4,"Standard","Ordinaire","240 V","240 V",125,"auto moisture","Automatique de l'humidité"
1165210,"DWR-WE31","Daewoo",895,1.48,"Standard","Ordinaire","240 V","240 V",207,"auto moisture","Automatique de l'humidité"
1165211,"DWR-WE32","Daewoo",895,1.48,"Standard","Ordinaire","240 V","240 V",207,"auto moisture","Automatique de l'humidité"
1165212,"DWR-WE33","Daewoo",895,1.48,"Standard","Ordinaire","240 V","240 V",207,"auto moisture","Automatique de l'humidité"
1165213,"DWR-WE3RC","Daewoo",895,1.48,"Standard","Ordinaire","240 V","240 V",207,"auto moisture","Automatique de l'humidité"
1165214,"DWR-WE3BC","Daewoo",895,1.48,"Standard","Ordinaire","240 V","240 V",207,"auto moisture","Automatique de l'humidité"
1165215,"CDE8000GW","Crosley",895,1.48,"Standard","Ordinaire","240 V","240 V",207,"auto moisture","Automatique de l'humidité"
1165216,"CDE8000GR","Crosley",895,1.48,"Standard","Ordinaire","240 V","240 V",207,"auto moisture","Automatique de l'humidité"
1165217,"CDE8000GS","Crosley",895,1.48,"Standard","Ordinaire","240 V","240 V",207,"auto moisture","Automatique de l'humidité"
