"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","MOD_J1_AEC","DRYER_AEC","PROD_DESC_LABEL_EN","PROD_DESC_LABEL_FR","WASHER_TYPE_LABEL_EN","WASHER_TYPE_LABEL_FR","AVG_L_PER_CYCLE","VOLTAGE_LABEL_EN","VOLTAGE_LABEL_FR","WASHER_CAPACITY","WATER_LEVELS_CONTROL_LABEL_EN","WATER_LEVELS_CONTROL_LABEL_FR","MOD_J1_EF_LIT","WATER_CON_FACTOR","ANNUAL_WATER_CON_L","DRYER_TYPE_LABEL_EN","DRYER_TYPE_LABEL_FR","DRYER_CAPACITY","DRYER_CONTROL_LABEL_EN","DRYER_CONTROL_LABEL_FR"
2673106,"WM3455H*","LG",,152,,"All-in-one tub with air-to-water condensing dryer","Monobloc avec sécheuse à condensation air à eau","Front-loading standard","Ordinaire à chargement frontal",44.488,"120 V","120 V",66.4,"adaptive","adaptif",62.3,0.67,17439.296,"Compact","Compacte",66.4,"Auto-temperature","Capteur de température"
3472703,"WM3987H**","LG",1614,128,1486,"All-in-one tub with air-to-water condensing dryer","Monobloc avec sécheuse à condensation air à eau","Front-loading standard","Ordinaire à chargement frontal",48.311,"120 V","120 V",102.79,"adaptive","adaptif",78.95,0.47,18937.912,"Compact","Compacte",102.79,"Auto-temperature","Capteur de température"
4710988,"HWD1600","Haier",0,95,,"All-in-one tub with air-to-water condensing dryer","Monobloc avec sécheuse à condensation air à eau","Front-loading standard","Ordinaire à chargement frontal",38.38,"120 V","120 V",50.5,"adaptive","adaptif",55.35,0.76,15044.96,"Standard","Ordinaire",50.5,"Auto-moisture","Capteur d'humidité"
8920272,"WM3997H**","LG",825,125,700,"All-in-one tub with air-to-water condensing dryer","Monobloc avec sécheuse à condensation air à eau","Front-loading standard","Ordinaire à chargement frontal",50.889,"120 V","120 V",118.9,"adaptive","adaptif",84.951,0.428,19948.488,"Standard","Ordinaire",118.9,"Auto-moisture","Capteur d'humidité"
8974925,"WM3477H*","LG",710,115,595,"All-in-one tub with air-to-water condensing dryer","Monobloc avec sécheuse à condensation air à eau","Front-loading standard","Ordinaire à chargement frontal",52.21,"120 V","120 V",65.1,"adaptive","adaptif",56.63,0.802,20466.32,"Standard","Ordinaire",64.3,"Auto-moisture","Capteur d'humidité"
11818181,"ARWDF129(NA)#","Ariston",597,107,490,"All-in-one tub with air-to-water condensing dryer","Monobloc avec sécheuse à condensation air à eau","Front-loading standard","Ordinaire à chargement frontal",34.532,"120 V","120 V",51.54,"adaptive","adaptif",61,0.67,13536.544,"Compact","Compacte",51.54,"Timed","À minuterie"
11818189,"BTGE6***093+","IPSO",,90,,"Over-under with gas dryer","Superposée avec sécheuse à gaz","Front-loading standard","Ordinaire à chargement frontal",48.4,"120 V","120 V",96.8,"adaptive","adaptif",82.29,0.5,18972.8,"Standard","Ordinaire",198,"Auto-moisture","Capteur d'humidité"
11818190,"YTGE5***093+","Huebsch",,90,,"Over-under with gas dryer","Superposée avec sécheuse à gaz","Front-loading standard","Ordinaire à chargement frontal",48.4,"120 V","120 V",96.8,"adaptive","adaptif",82.29,0.5,18972.8,"Standard","Ordinaire",198,"Auto-moisture","Capteur d'humidité"
11818191,"YTEE5***283+","Huebsch",1030,90,940,"Over-under with electric evaporative dryer","Superposée avec sécheuse à condensation air à air","Front-loading standard","Ordinaire à chargement frontal",48.4,"240 V","240 V",96.8,"adaptive","adaptif",82.29,0.5,18972.8,"Standard","Ordinaire",198,"Auto-moisture","Capteur d'humidité"
11818192,"UTEE5***283+","Unimac",1030,90,940,"Over-under with electric evaporative dryer","Superposée avec sécheuse à condensation air à air","Front-loading standard","Ordinaire à chargement frontal",48.4,"240 V","240 V",96.8,"adaptive","adaptif",82.29,0.5,18972.8,"Standard","Ordinaire",198,"Auto-moisture","Capteur d'humidité"
