"REC_REF_KEY","BRAND_NAME","MODEL_NUM_1","MOD_J1_AEC","TYPE_LABEL_EN","TYPE_LABEL_FR","AVG_L_PER_CYCLE","PROD_CLASS_LABEL_EN","PROD_CLASS_LABEL_FR","PAYMENT_MECH_LABEL_EN","PAYMENT_MECH_LABEL_FR","CAPACITY","MAX_WASH_TEMP_AVAIL_LABEL_EN","MAX_WASH_TEMP_AVAIL_LABEL_FR","WATER_LEVELS_CONTROL_LABEL_EN","WATER_LEVELS_CONTROL_LABEL_FR","MOD_J1_EF_LIT","WATER_CON_FACTOR","ANNUAL_WATER_CON_L"
212568,"Staber","HXW2304",180,"Top-loading standard","Ordinaire à chargement par le haut",51.084,"Household","Résidentiel","-","-",56.634,"No","Non","Manual","Manuel",49.554,0.902,20024.928
212569,"Staber","HXW2404",180,"Top-loading standard","Ordinaire à chargement par le haut",51.084,"Household","Résidentiel","-","-",56.634,"No","Non","Manual","Manuel",49.554,0.902,20024.928
212570,"Staber","HXW2504",180,"Top-loading standard","Ordinaire à chargement par le haut",51.084,"Household","Résidentiel","-","-",56.634,"No","Non","Manual","Manuel",49.554,0.902,20024.928
1938009,"GE","WCVH4800****",122,"Front-loading standard","Ordinaire à chargement frontal",36.54,"Household","Résidentiel","-","-",63,"Yes","Oui","Adaptive","Adaptif",65.13,0.58,14323.68
5477847,"LG","WM8000H**",150,"Front-loading standard","Ordinaire à chargement frontal",56.802,"Household","Résidentiel","-","-",146.398,"Yes","Oui","Adaptive","Adaptif",77.588,0.388,22266.384
5477902,"GE","GFWS1500D***",170.9,"Front-loading standard","Ordinaire à chargement frontal",56.61,"Household","Résidentiel","-","-",115.53,"Yes","Oui","Adaptive","Adaptif",75.01,0.49,22191.12
5882632,"LG","WM4070H**",115,"Front-loading standard","Ordinaire à chargement frontal",48.401,"Household","Résidentiel","-","-",120.7,"No","Non","Adaptive","Adaptif",93.446,0.401,18973.192
5920194,"LG","WT1101C*",230,"Top-loading standard","Ordinaire à chargement par le haut",62.495,"Household","Résidentiel","-","-",122.3,"No","Non","Adaptive","Adaptif",73.057,0.511,24498.04
5920195,"LG","WT1201C*",225,"Top-loading standard","Ordinaire à chargement par le haut",64.338,"Household","Résidentiel","-","-",126.9,"No","Non","Adaptive","Adaptif",72.774,0.507,25220.496
6050598,"Ariston","ARWXF129W#",107,"Front-loading standard","Ordinaire à chargement frontal",34.532,"Household","Résidentiel","-","-",51.54,"No","Non","Adaptive","Adaptif",61,0.67,13536.544
6050599,"Ariston","ARWL129#",107,"Front-loading standard","Ordinaire à chargement frontal",34.532,"Household","Résidentiel","-","-",51.54,"No","Non","Adaptive","Adaptif",61,0.67,13536.544
