"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC_03","COOK_TOP_TYPE_LABEL_EN","COOK_TOP_TYPE_LABEL_FR","NONIMAL_WIDTH_LABEL_EN","NONIMAL_WIDTH_LABEL_FR"
122557,"CVEX4270","Jenn-Air",235,"Modular top","Surface modulaire","30","30"
122617,"JED8130*+#","Jenn-Air",235,"Modular top","Surface modulaire","30","30"
122618,"JED8230*+#","Jenn-Air",235,"Modular top","Surface modulaire","30","30"
122619,"JED8345*+#","Jenn-Air",235,"Modular top","Surface modulaire","46","46"
373205,"KECC056R","KitchenAid",258,"Smooth top","Surface vitrifiée","15","15"
1356815,"KM5656","Miele",240,"Smooth top","Surface vitrifiée","30","30"
1356816,"KM5676","Miele",245,"Smooth top","Surface vitrifiée","36","36"
1377508,"S2772TCU","Smeg",242,"Smooth top","Surface vitrifiée","30","30"
1598325,"CE122LX*","Fisher & Paykel",233,"Smooth top","Surface vitrifiée","12","12"
1598328,"CE490612","Gaggenau",240,"Smooth top","Surface vitrifiée","36","36"
1598330,"NEM3064UC","Bosch",234,"Smooth top","Surface vitrifiée","30","30"
1599707,"CS1112","Miele",240,"Smooth top","Surface vitrifiée","11","11"
1599708,"CS1122","Miele",245,"Smooth top","Surface vitrifiée","15","15"
2116982,"JED3430+*#","Jenn-Air",235,"Smooth top","Surface vitrifiée","30","30"
2116983,"JED3536+*#","Jenn-Air",235,"Smooth top","Surface vitrifiée","36","36"
2116984,"JED4430+*#","Jenn-Air",235,"Smooth top","Surface vitrifiée","30","30"
2116985,"JED4536+*#","Jenn-Air",235,"Smooth top","Surface vitrifiée","36","36"
2116986,"MEC7430+#","Maytag",250,"Smooth top","Surface vitrifiée","30","30"
2891565,"W5CE3024","Whirlpool",252,"Smooth top","Surface vitrifiée","30","30"
2891566,"G7CE3635","Whirlpool",257,"Smooth top","Surface vitrifiée","36","36"
2891570,"G7CE3034","Whirlpool",257,"Smooth top","Surface vitrifiée","30","30"
3472641,"CCTE12*","DeLonghi",233,"Smooth top","Surface vitrifiée","12","12"
4774189,"KM5621","Miele",235,"Smooth top","Surface vitrifiée","24 5/8","24 5/8"
4774190,"KM5624","Miele",235,"Smooth top","Surface vitrifiée","30 1/2","30 1/2"
4774191,"KM5627","Miele",240,"Smooth top","Surface vitrifiée","36","36"
4774192,"KM5820","Miele",245,"Smooth top","Surface vitrifiée","24 5/8","24 5/8"
4774193,"KM5840","Miele",235,"Smooth top","Surface vitrifiée","30.2","30.2"
4774194,"KM5860","Miele",240,"Smooth top","Surface vitrifiée","36","36"
4774195,"KM5880","Miele",240,"Smooth top","Surface vitrifiée","42 1/2","42 1/2"
5509034,"KECC604B","KitchenAid",235,"Smooth top","Surface vitrifiée","30","30"
5509036,"KECC607B","KitchenAid",235,"Smooth top","Surface vitrifiée","30","30"
5509038,"KECC664B","KitchenAid",235,"Smooth top","Surface vitrifiée","30","30"
5509039,"KECC667B","KitchenAid",235,"Smooth top","Surface vitrifiée","36","36"
8779075,"CRVEC330-5B","Brigade",245,"Smooth top","Surface vitrifiée","30","30"
8779076,"CRVEC336-5B","Brigade",244,"Smooth top","Surface vitrifiée","36","36"
8779077,"CRVEC345-6B","Brigade",243,"Smooth top","Surface vitrifiée","45","45"
8779080,"CEM304NS","Thermador",234,"Smooth top","Surface vitrifiée","30","30"
8779081,"CEM365NS","Thermador",232,"Smooth top","Surface vitrifiée","36","36"
8779082,"CET304NS","Thermador",244,"Smooth top","Surface vitrifiée","30","30"
8779083,"CET365NS","Thermador",230,"Smooth top","Surface vitrifiée","36","36"
8779084,"CET366NS","Thermador",234,"Smooth top","Surface vitrifiée","36","36"
8779085,"NEM5066UC","Bosch",234,"Smooth top","Surface vitrifiée","30","30"
8779086,"NEM5666UC","Bosch",234,"Smooth top","Surface vitrifiée","36","36"
8779087,"NET5466SC","Bosch",234,"Smooth top","Surface vitrifiée","24","24"
8779088,"NET8066UC","Bosch",234,"Smooth top","Surface vitrifiée","30","30"
8779089,"NET8066SUC","Bosch",234,"Smooth top","Surface vitrifiée","30","30"
8779090,"NET8666UC","Bosch",235,"Smooth top","Surface vitrifiée","36","36"
