"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","TAEC_C373_04","MAX_H20_FACTOR_L_PER_CYCLE","MAX_H20_FACTOR_G_PER_CYCLE","DWSIZE_LABEL_EN","DWSIZE_LABEL_FR","TYPE_LABEL_EN","TYPE_LABEL_FR","EF_C373_04","HW_CONSUMPT"
1322039,"PLA8743XU","Smeg",298,11.091,2.93,"Standard","Ordinaire","Built-in","Encastré",0.722,11.091
1322040,"STO905U","Smeg",258,9.88,2.61,"Standard","Ordinaire","Built-in","Encastré",0.833,9.88
1322041,"STA4645U","Smeg",250,12,3.17,"Standard","Ordinaire","Built-in","Encastré",0.854,12
1322042,"PLA68XU","Smeg",306,14.271,3.77,"Standard","Ordinaire","Built-in","Encastré",0.7,14.271
1322043,"STA8614XU","Smeg",298,11.091,2.93,"Standard","Ordinaire","Built-in","Encastré",0.722,11.091
1322044,"STA8743U","Smeg",298,11.091,2.93,"Standard","Ordinaire","Built-in","Encastré",0.722,11.091
1605897,"LFA-086XL","Fagor",298,11.091,2.93,"Standard","Ordinaire","Built-in","Encastré",0.722,11.091
1605898,"LFA-086XLIT","Fagor",298,11.091,2.93,"Standard","Ordinaire","Built-in","Encastré",0.722,11.091
1605899,"F89078VI-S","AEG-Electrolux",298,11.091,2.93,"Standard","Ordinaire","Built-in","Encastré",0.722,11.091
1605900,"F89078VI-M","AEG-Electrolux",298,11.091,2.93,"Standard","Ordinaire","Built-in","Encastré",0.722,11.091
1605901,"F65478VI-S","AEG-Electrolux",250,12,3.17,"Standard","Ordinaire","Built-in","Encastré",0.854,12
1605902,"F45078I-M","AEG-Electrolux",306,14.271,3.77,"Standard","Ordinaire","Built-in","Encastré",0.7,14.271
2442687,"SHE4AP0#UC","Bosch",279,14.08,3.72,"Standard","Ordinaire","Built-in","Encastré",0.77,14.08
2566875,"LFDS3XL60HZ","Scholtes",298,11.091,2.93,"Standard","Ordinaire","Built-in","Encastré",0.722,11.091
2566876,"LTES3XL60HZ","Scholtes",298,11.091,2.93,"Standard","Ordinaire","Built-in","Encastré",0.722,11.091
2566877,"LPES3XL60HZ","Scholtes",306,14.271,3.77,"Standard","Ordinaire","Built-in","Encastré",0.7,14.271
3884871,"DDW611WLED","Danby",220,13,3.4,"Compact","Compact","Portable","Mobile",1.06,13
3960814,"SHE3AR5#UC","Bosch",269,12.11,3.2,"Standard","Ordinaire","Built-in","Encastré",0.79,12.11
3960815,"SHE3ARL#UC","Bosch",269,12.11,3.2,"Standard","Ordinaire","Built-in","Encastré",0.79,12.11
3960816,"SHE3ARF#UC","Bosch",269,12.11,3.2,"Standard","Ordinaire","Built-in","Encastré",0.79,12.11
3960817,"SHX3AR5#UC","Bosch",269,12.11,3.2,"Standard","Ordinaire","Built-in","Encastré",0.79,12.11
3960818,"SHE3AR7#UC","Bosch",269,12.11,3.2,"Standard","Ordinaire","Built-in","Encastré",0.79,12.11
3960819,"SHX3AR7#UC","Bosch",269,12.11,3.2,"Standard","Ordinaire","Built-in","Encastré",0.79,12.11
4010527,"SHE7ER5#UC","Bosch",259,11,2.9,"Standard","Ordinaire","Built-in","Encastré",0.83,11
4010528,"SHV7ER5#UC","Bosch",259,11,2.9,"Standard","Ordinaire","Built-in","Encastré",0.83,11
4010529,"SHX7ER5#UC","Bosch",259,11,2.9,"Standard","Ordinaire","Built-in","Encastré",0.83,11
4010530,"SGE63E1#UC","Bosch",234,11,2.9,"Standard","Ordinaire","Built-in","Encastré",0.92,11
4010531,"SHE9ER5#UC","Bosch",200,11,2.9,"Standard","Ordinaire","Built-in","Encastré",1.07,11
4010532,"SHV9ER5#UC","Bosch",200,11,2.9,"Standard","Ordinaire","Built-in","Encastré",1.07,11
4010533,"SHX9ER5#UC","Bosch",200,11,2.9,"Standard","Ordinaire","Built-in","Encastré",1.07,11
4122761,"1325*K***","Kenmore",253,10.98,2.9,"Standard","Ordinaire","Built-in","Encastré",0.86,10.98
4293633,"SGE63E0#UC","Bosch",234,11,2.9,"Standard","Ordinaire","Built-in","Encastré",0.92,11
4295842,"GSD21**V****","GE Appliances",307,18.9,4.993,"Standard","Ordinaire","Built-in","Encastré",0.7,18.9
4295848,"GSM22**V****","GE Appliances",307,18.9,4.993,"Standard","Ordinaire","Built-in","Encastré",0.7,18.9
4537927,"SPE5ES5#UC","Bosch",259,11.36,3,"Standard","Ordinaire","Built-in","Encastré",0.83,11.36
4537928,"SPV5ES5#UC","Bosch",259,11.36,3,"Standard","Ordinaire","Built-in","Encastré",0.83,11.36
4537929,"SPX5ES5#UC","Bosch",259,11.36,3,"Standard","Ordinaire","Built-in","Encastré",0.83,11.36
4655346,"IUD8100Y**","Ikea",285,13.25,3.5,"Standard","Ordinaire","Built-in","Encastré",0.76,13.25
4711023,"DWHD640J##","Thermador",269,11,2.9,"Standard","Ordinaire","Built-in","Encastré",0.79,11
4711024,"DWHD650J##","Thermador",260,11,2.9,"Standard","Ordinaire","Built-in","Encastré",0.83,11
4711025,"DWHD651J##","Thermador",260,11,2.9,"Standard","Ordinaire","Built-in","Encastré",0.83,11
4871411,"GSC35**D****","GE Appliances",295,16.1,4.253,"Standard","Ordinaire","Portable","Mobile",0.75,16.1
