"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC","EG_WEB_SHAPE_LABEL_EN","EG_WEB_SHAPE_LABEL_FR","VOL_LIT","VOL_CUB","TYPE_LABEL_EN","TYPE_LABEL_FR","SIZE_CATEGORY","EG_WEB_DEFROST_LABEL_EN","EG_WEB_DEFROST_LABEL_FR","HR24_FREEZE_KG"
2368534,"F1051","Liebherr",465,"Upright","Verticaux",267,9.43,"09","09",3,"Automatic","Automatique",18
2528298,"HNCM070E","Haier",276,"Chest","Coffre",198.2,7,"18","18",1,"-","-",9.8
2528299,"HNCM070EB","Haier",276,"Chest","Coffre",198.2,7,"18","18",1,"-","-",9.8
2528300,"HNCM070EC","Haier",276,"Chest","Coffre",198.2,7,"18","18",1,"-","-",9.8
2531055,"MCCF35WF","Magic Chef",212,"Chest","Coffre",95,3.4,"18","18",0,"-","-",14
3493051,"FGCH20M7LW*","Gallery",434,"Chest","Coffre",562.089,19.85,"10","10",8,"-","-",14.9
3493055,"FKFH21F7HW*","Frigidaire",690,"Upright","Verticaux",580.779,20.51,"09","09",8,"Automatic","Automatique",13.5
3493077,"LFFH17F7HW*","Frigidaire",615,"Upright","Verticaux",473.741,16.73,"09","09",6,"Automatic","Automatique",11.8
3493079,"LFFN15M5HW*","Frigidaire",357,"Chest","Coffre",420.505,14.85,"10","10",5,"-","-",12.5
3745381,"65405003","Uberhaus",212,"Chest","Coffre",100,3.5,"18","18",0,"-","-",5
3745382,"65405005","Uberhaus",247,"Chest","Coffre",150,5.3,"18","18",0,"-","-",8
4295826,"BI-36F/O","Sub-Zero",817,"Upright","Verticaux",641.94,22.67,"09","09",9,"Automatic","Automatique",11.43
4295827,"BI-36F/S/PH","Sub-Zero",817,"Upright","Verticaux",641.94,22.67,"09","09",9,"Automatic","Automatique",11.43
4295828,"BI-36F/S/TH","Sub-Zero",817,"Upright","Verticaux",641.94,22.67,"09","09",9,"Automatic","Automatique",11.43
4911355,"T30IF800SP","Thermador",480,"Upright","Verticaux",447.972,15.82,"09","09",6,"Automatic","Automatique",12.6
4911356,"T24IF800SP","Thermador",388,"Upright","Verticaux",346.598,12.24,"09","09",4,"Automatic","Automatique",15.2
4911357,"T18IF800SP","Thermador",359,"Upright","Verticaux",244.657,8.64,"09","09",2,"Automatic","Automatique",2.22
4911358,"T24ID800RP","Thermador",410,"Upright","Verticaux",320.263,11.31,"09","09",3,"Automatic","Automatique",13
4911359,"T24ID800LP","Thermador",410,"Upright","Verticaux",320.263,11.31,"09","09",3,"Automatic","Automatique",13
4911360,"T18ID800LP","Thermador",356,"Upright","Verticaux",222.004,7.84,"09","09",2,"Automatic","Automatique",1.2
4911361,"T18ID800RP","Thermador",356,"Upright","Verticaux",222.004,7.84,"09","09",2,"Automatic","Automatique",1.2
5350080,"FFUH21F2NW*","Frigidaire",690,"Upright","Verticaux",580.779,20.51,"09","09",8,"Automatic","Automatique",13.5
5768623,"HS502FW","Brada",511,"Upright","Verticaux",391,13.8,"09","09",5,"Automatic","Automatique",17.5
6188298,"HS-502FWE","Midea",511,"Upright","Verticaux",391,13.8,"09","09",5,"Automatic","Automatique",17.5
6188299,"UL-BD386WE-S","Midea",511,"Upright","Verticaux",391,13.8,"09","09",5,"Automatic","Automatique",17.5
6188300,"HNCM035E","Haier",212,"Chest","Coffre",100,3.5,"18","18",0,"-","-",5
6188301,"FR434","Igloo",212,"Chest","Coffre",100,3.5,"18","18",0,"-","-",5
6188302,"FR438","Igloo",170,"Chest","Coffre",100,3.5,"18","18",0,"-","-",5
6215241,"043-1895-2","Cuisinart",238,"Upright","Verticaux",79.6,2.8,"16","16",0,"Manual","Non automatique",8
6215242,"RS-11DC1HS","Hisense",238,"Upright","Verticaux",79.6,2.8,"16","16",0,"Manual","Non automatique",8
6219008,"ZIFP360NX****","GE Monogram",704,"Upright","Verticaux",607.963,21.47,"09","09",9,"Automatic","Automatique",21.288
6219009,"ZIFS360NX****","GE Monogram",704,"Upright","Verticaux",607.963,21.47,"09","09",9,"Automatic","Automatique",21.288
6448375,"HS502FWSS","Brada",511,"Upright","Verticaux",391,13.8,"09","09",5,"Automatic","Automatique",17.5
6448376,"AFU137DW","Avantgarde",511,"Upright","Verticaux",391,13.8,"09","09",5,"Automatic","Automatique",17.5
6506907,"HD-200","Hicon",276,"Chest","Coffre",198,7,"18","18",1,"-","-",9.8
7038034,"043-0292-2","Master Chef",214,"Chest","Coffre",99,3.5,"18","18",0,"-","-",6
7038035,"043-0293-0","Master Chef",242,"Chest","Coffre",144,5.1,"18","18",0,"-","-",8
7589867,"043-0293-0","Master Chef",237.3,"Chest","Coffre",145,5.12,"18","18",0,"-","-",13
7589868,"FC-19DD1HNA","Hisense",237.3,"Chest","Coffre",145,5.12,"18","18",0,"-","-",13
7589869,"FFFC05M2KW","Frigidaire",237.3,"Chest","Coffre",145,5.12,"18","18",0,"-","-",13
7589870,"FFFC05M3LW","Frigidaire",237.3,"Chest","Coffre",145,5.12,"18","18",0,"-","-",13
7589871,"CFC05LW","Crosley",237.3,"Chest","Coffre",145,5.12,"18","18",0,"-","-",13
7589872,"043-0292-2","Master Chef",203.2,"Chest","Coffre",97.5,3.46,"18","18",0,"-","-",15
7589873,"FC-13DD1HA","Hisense",203.2,"Chest","Coffre",97.5,3.46,"18","18",0,"-","-",15
7589874,"CF353","Emerson",203.2,"Chest","Coffre",97.5,3.46,"18","18",0,"-","-",15
7919983,"RF463702","Gaggenau",410,"Upright","Verticaux",320.263,11.31,"09","09",3,"Automatic","Automatique",13
7919984,"RF463703","Gaggenau",410,"Upright","Verticaux",320.263,11.31,"09","09",3,"Automatic","Automatique",13
7919985,"RF411701","Gaggenau",359,"Upright","Verticaux",244.657,8.64,"09","09",2,"Automatic","Automatique",2.22
7919986,"RF461701","Gaggenau",388,"Upright","Verticaux",346.598,12.24,"09","09",4,"Automatic","Automatique",15.2
7919987,"RF471701","Gaggenau",480,"Upright","Verticaux",447.972,15.82,"09","09",6,"Automatic","Automatique",12.6
7920123,"HF71CM20NW","Haier",278,"Chest","Coffre",201.5,7.1,"18","18",1,"-","-",16.1
8317951,"FC-33DD1HA","Hisense",193.09,"Chest","Coffre",250.1,8.83,"10","10",2,"-","-",18.3
8317952,"FC88D1AWD","Hisense",193.09,"Chest","Coffre",250.1,8.83,"10","10",2,"-","-",18.3
8317953,"FC-33DD1HB","Hisense",190.41,"Chest","Coffre",250.1,8.83,"10","10",2,"-","-",18.3
8317954,"FC88D1BWD","Hisense",190.41,"Chest","Coffre",250.1,8.83,"10","10",2,"-","-",18.3
8918403,"FC-19DD1SA","Hisense",220,"Chest","Coffre",143.5,5.07,"18","18",0,"-","-",12
8918404,"FC51D7AWD","Hisense",220,"Chest","Coffre",143.5,5.07,"18","18",0,"-","-",12
8918405,"FFFC05M1QW","Frigidaire",220,"Chest","Coffre",143.5,5.07,"18","18",0,"-","-",12
8918409,"FC-13DD1SA","Hisense",194,"Chest","Coffre",98.2,3.47,"18","18",0,"-","-",9
8918410,"FC35D7AWD","Hisense",194,"Chest","Coffre",98.2,3.47,"18","18",0,"-","-",9
8918411,"FC-26DD1SA","Hisense",254,"Chest","Coffre",203.4,7.18,"18","18",1,"-","-",13
8918412,"FC72D7AWD","Hisense",254,"Chest","Coffre",203.4,7.18,"18","18",1,"-","-",13
8918413,"FFFC07M1QW","Frigidaire",254,"Chest","Coffre",203.4,7.18,"18","18",1,"-","-",13
8920333,"FKC17F7QT*","Frigidaire",615,"Upright","Verticaux",473.741,16.73,"09","09",6,"Automatic","Automatique",13.3
8927945,"CFDFB5302*****","Brigade",601,"Upright","Verticaux",450.237,15.9,"09","09",6,"Automatic","Automatique",11.2
8927946,"CVCFB5302*****","Brigade",601,"Upright","Verticaux",450.237,15.9,"09","09",6,"Automatic","Automatique",11.2
8927947,"CFDFB5362*****","Brigade",665,"Upright","Verticaux",543.683,19.2,"09","09",7,"Automatic","Automatique",12.93
8927948,"CVCFB5362*****","Brigade",665,"Upright","Verticaux",543.683,19.2,"09","09",7,"Automatic","Automatique",12.93
9391391,"ID-24F","Sub-Zero",377,"Upright","Verticaux",107.7,3.8,"17","17",0,"Automatic","Automatique",15.45
9391392,"ID-30F","Sub-Zero",356,"Upright","Verticaux",138.8,4.9,"17","17",0,"Automatic","Automatique",15.45
9497541,"FCM5SH****","GE",218,"Chest","Coffre",142.43,5.03,"18","18",0,"-","-",11
9497542,"FCM7SH****","GE",250,"Chest","Coffre",198.78,7.02,"18","18",1,"-","-",8.9
9497543,"FCM11PH****","GE",218,"Chest","Coffre",300.16,10.6,"10","10",3,"-","-",11
9497544,"FCM7DH****","GE",250,"Chest","Coffre",198.78,7.02,"18","18",1,"-","-",8.9
9517766,"CFC051QW","Crosley",220,"Chest","Coffre",143.5,5.07,"18","18",0,"-","-",12
9517767,"253.1250241*","Kenmore",220,"Chest","Coffre",143.5,5.07,"18","18",0,"-","-",12
9517768,"253.1240241*","Kenmore",194,"Chest","Coffre",98.2,3.47,"18","18",0,"-","-",9
9517769,"CFC072QW","Crosley",254,"Chest","Coffre",203.4,7.18,"18","18",1,"-","-",13
9517770,"253.1270241*","Kenmore",254,"Chest","Coffre",203.4,7.18,"18","18",1,"-","-",13
9571862,"RS-04DC1SS","Hisense",241,"Upright","Verticaux",30.7,1.08,"16","16",0,"Manual","Non automatique",3
9571863,"RC13D1A*E","Hisense",241,"Upright","Verticaux",30.7,1.08,"16","16",0,"Manual","Non automatique",3
9571864,"WUF13W","Commercial Cool",241,"Upright","Verticaux",30.7,1.08,"16","16",0,"Manual","Non automatique",3
9572784,"IC-30FI","Sub-Zero",557,"Upright","Verticaux",433.2,15.3,"09","09",5,"Automatic","Automatique",28.45
9572785,"IC-24FI","Sub-Zero",558,"Upright","Verticaux",348.2,12.3,"09","09",4,"Automatic","Automatique",9.21
9572786,"IT-30FI","Sub-Zero",606,"Upright","Verticaux",427.5,15.1,"09","09",5,"Automatic","Automatique",9.21
9574319,"FCM5FX****","GE",218,"Chest","Coffre",142,5,"18","18",0,"-","-",7.6
9574320,"FCM7FX****","GE",250,"Chest","Coffre",199,7,"18","18",1,"-","-",6.6
9574321,"FCM10FX****","GE",218,"Chest","Coffre",301,11,"10","10",3,"-","-",7.4
9574322,"MCM5FX****","Moffat",218,"Chest","Coffre",142,5,"18","18",0,"-","-",7.6
9574323,"MCM7FX****","Moffat",250,"Chest","Coffre",199,7,"18","18",1,"-","-",6.6
9574324,"MCM10FX****","Moffat",218,"Chest","Coffre",301,11,"10","10",3,"-","-",7.4
9606170,"AQC0501DRW","Amana",215,"Chest","Coffre",142,5,"10","10",0,"-","-",10
9606171,"AQC0701DRW","Amana",248,"Chest","Coffre",197,7,"18","18",1,"-","-",12
9606172,"AQC0902DRW","Amana",219,"Chest","Coffre",255,9,"18","18",2,"-","-",13
9737219,"33NR81","Dayton",218,"Chest","Coffre",142,5,"18","18",0,"-","-",11.4
9737220,"33NR82","Dayton",250,"Chest","Coffre",199,7,"18","18",1,"-","-",9.5
9737221,"33NR83","Dayton",244,"Chest","Coffre",301,10.6,"10","10",3,"-","-",11.6
9737243,"HS-129C-2","Brada",193,"Chest","Coffre",100,3.5,"18","18",0,"-","-",5.1
9737346,"CF500","Emerson",220,"Chest","Coffre",143.5,5.07,"18","18",0,"-","-",12
9875448,"FFFU14M1QW*","Frigidaire",334,"Upright","Verticaux",409,14.43,"08","08",5,"Manual","Non automatique",11.42
9875450,"FFFU17M1QW*","Frigidaire",362,"Upright","Verticaux",491,17.34,"08","08",6,"Manual","Non automatique",21.21
9875451,"CFUMC17QW*","Crosley",362,"Upright","Verticaux",491,17.34,"08","08",6,"Manual","Non automatique",21.21
9875452,"FFFU21M1QW*","Frigidaire",397,"Upright","Verticaux",593,20.94,"08","08",8,"Manual","Non automatique",19.23
9875454,"CFUMC21QW*","Crosley",397,"Upright","Verticaux",593,20.94,"08","08",8,"Manual","Non automatique",19.23
9875455,"FFFU14F2QW*","Frigidaire",436,"Upright","Verticaux",391,13.82,"09","09",5,"Automatic","Automatique",15.5
9875457,"CFUF14QW*","Crosley",436,"Upright","Verticaux",391,13.82,"09","09",5,"Automatic","Automatique",15.5
9875459,"FFVU17F4QW*","Frigidaire",479,"Upright","Verticaux",471,16.63,"09","09",6,"Automatic","Automatique",18.99
9875460,"FFFH17F6QW*","Frigidaire",431,"Upright","Verticaux",471,16.63,"09","09",6,"Automatic","Automatique",18.78
9875461,"FFFH17F4QT*","Frigidaire",431,"Upright","Verticaux",471,16.63,"09","09",6,"Automatic","Automatique",18.99
9875462,"FFFH17F2QW*","Frigidaire",431,"Upright","Verticaux",471,16.63,"09","09",6,"Automatic","Automatique",18.99
9875465,"FGVU17F8QF*","Gallery",431,"Upright","Verticaux",471,16.63,"09","09",6,"Automatic","Automatique",18.78
9875466,"FGVU17F8QT*","Gallery",431,"Upright","Verticaux",471,16.63,"09","09",6,"Automatic","Automatique",18.78
9875467,"CFUFH17QW*","Crosley",431,"Upright","Verticaux",471,16.63,"09","09",6,"Automatic","Automatique",18.99
9875468,"FGFU19F6QF*","Gallery",509,"Upright","Verticaux",526,18.58,"09","09",7,"Automatic","Automatique",17.09
9875470,"E32AF85PQS*","Electrolux",509,"Upright","Verticaux",526,18.58,"09","09",7,"Automatic","Automatique",17.09
9875471,"EI32AF80QS*","Electrolux",509,"Upright","Verticaux",526,18.58,"09","09",7,"Automatic","Automatique",17.09
9875472,"FFFH20F2QW*","Frigidaire",480,"Upright","Verticaux",573,20.22,"09","09",8,"Automatic","Automatique",21.72
9875474,"FFVU21F4QW*","Frigidaire",538,"Upright","Verticaux",581,20.53,"09","09",8,"Automatic","Automatique",21.72
9875475,"FFFH21F6QW*","Frigidaire",484,"Upright","Verticaux",581,20.53,"09","09",8,"Automatic","Automatique",21.99
9875479,"FGVU21F8QF*","Gallery",484,"Upright","Verticaux",581,20.53,"09","09",8,"Automatic","Automatique",21.99
9875480,"FGVU21F8QT*","Gallery",484,"Upright","Verticaux",581,20.53,"09","09",8,"Automatic","Automatique",21.99
9875481,"CFUFH21QW*","Crosley",484,"Upright","Verticaux",581,20.53,"09","09",8,"Automatic","Automatique",21.72
9875482,"CFUFHC21QW*","Crosley",484,"Upright","Verticaux",581,20.53,"09","09",8,"Automatic","Automatique",21.99
9875490,"FFFC18M6QW*","Frigidaire",331,"Chest","Coffre",496,17.51,"10","10",7,"-","-",13.61
9875492,"CFC183QW*","Crosley",331,"Chest","Coffre",496,17.51,"10","10",7,"-","-",13.61
9875493,"FFFC22M6QW*","Frigidaire",383,"Chest","Coffre",611,21.57,"10","10",9,"-","-",13.41
9875495,"CFC224QW*","Crosley",383,"Chest","Coffre",611,21.57,"10","10",9,"-","-",13.41
9875526,"AZC31T15D*","Amana",297,"Chest","Coffre",419.09,14.8,"10","10",5,"-","-",14.017
9875527,"DCFM148A1WDD*","Danby",297,"Chest","Coffre",419.09,14.8,"10","10",5,"-","-",14.017
9875528,"MZC31T15D*","Maytag",297,"Chest","Coffre",419.09,14.8,"10","10",5,"-","-",14.017
9875529,"WZC3115D*","Whirlpool",297,"Chest","Coffre",419.09,14.8,"10","10",5,"-","-",14.017
9875530,"WZC5415D*","Whirlpool",297,"Chest","Coffre",419.09,14.8,"10","10",5,"-","-",14.017
9875532,"AZF33X18D*","Amana",496,"Upright","Verticaux",501.2,17.7,"09","09",7,"Automatic","Automatique",14.655
9875533,"DUF177A1WDB*","Danby",496,"Upright","Verticaux",501.2,17.7,"09","09",7,"Automatic","Automatique",14.655
9875534,"WZF34X18D*","Whirlpool",496,"Upright","Verticaux",501.2,17.7,"09","09",7,"Automatic","Automatique",14.655
9875536,"WSZ57L18D*","Whirlpool",496,"Upright","Verticaux",501.2,17.7,"09","09",7,"Automatic","Automatique",14.768
10012762,"FUM21DH****","GE",397,"Upright","Verticaux",592.955,20.94,"08","08",8,"Manual","Non automatique",19.23
10012763,"FUF14DH****","GE",436,"Upright","Verticaux",391.339,13.82,"09","09",5,"Automatic","Automatique",15.5
10012764,"FUF17DH****","GE",479,"Upright","Verticaux",470.909,16.63,"09","09",6,"Automatic","Automatique",18.99
10012765,"FUF20DH****","GE",534,"Upright","Verticaux",572.567,20.22,"09","09",8,"Automatic","Automatique",21.99
10012782,"DUFM026B1WDD","Danby Designer",237,"Upright","Verticaux",74.8,2.64,"16","16",0,"Manual","Non automatique",8
10012783,"DUFM085A2WP1","Danby Premiere",247,"Upright","Verticaux",241.3,8.52,"08","08",2,"Manual","Non automatique",9.3
10012784,"DUFM101A1WDD1","Danby Designer",261,"Upright","Verticaux",287.1,10.14,"08","08",3,"Manual","Non automatique",8.8
10012785,"DCF081A1WDD","Danby Designer",189,"Chest","Coffre",229.8,8.12,"10","10",2,"-","-",8.4
10012786,"DCF096A1WDD1","Danby Designer",206,"Chest","Coffre",272.1,9.61,"10","10",3,"-","-",9
10012787,"SYCF081A1W1","Simplicity",189,"Chest","Coffre",229.8,8.12,"10","10",2,"-","-",8.4
10012788,"DUFM043A1WDD","Danby Designer",260,"Upright","Verticaux",122.1,4.31,"16","16",0,"Manual","Non automatique",8.8
10012789,"DUFM032A1WDB","Danby",272,"Upright","Verticaux",90.1,3.18,"16","16",0,"Manual","Non automatique",4.8
10012791,"DCF038A1*","Danby",197,"Chest","Coffre",107.8,3.81,"18","18",0,"-","-",8.3
10012792,"DCF055A1WDB1","Danby",224,"Chest","Coffre",156,5.51,"18","18",1,"-","-",7.1
10012793,"DCF055A1*","Danby Premiere",224,"Chest","Coffre",156,5.51,"18","18",1,"-","-",7.1
10012794,"DCF071A3WDD1","Danby Designer",225,"Chest","Coffre",201.2,7.11,"18","18",1,"-","-",9.4
10012796,"SYCF038A1W1","Simplicity",197,"Chest","Coffre",107.8,3.81,"18","18",0,"-","-",8.3
10012797,"SYCF051A1W1","Simplicity",196,"Chest","Coffre",144.4,5.1,"18","18",0,"-","-",7.9
10012798,"SYCF071A3W1","Simplicity",225,"Chest","Coffre",201.2,7.11,"18","18",1,"-","-",9.4
10012799,"DCF072A2WP","Danby Premiere",252,"Chest","Coffre",204.1,7.21,"18","18",1,"-","-",8.5
10012800,"DCF072A2*","Danby",252,"Chest","Coffre",204.1,7.21,"18","18",1,"-","-",8.5
10012801,"DCF051A1WDD","Danby Designer",196,"Chest","Coffre",144.4,5.1,"18","18",0,"-","-",7.9
10012802,"DUFM085A2WDD1","Danby Designer",247,"Upright","Verticaux",241.3,8.52,"08","08",2,"Manual","Non automatique",9.3
10012816,"043-0293-0","Master Chef",220,"Chest","Coffre",143.5,5.07,"18","18",0,"-","-",12
10012817,"043-0292-2","Master Chef",194,"Chest","Coffre",98.2,3.47,"18","18",0,"-","-",9
10012821,"FFFU13M1QW*","Frigidaire",318,"Upright","Verticaux",363,12.82,"08","08",4,"Manual","Non automatique",12.77
10012823,"FFFH17F4QW*","Frigidaire",431,"Upright","Verticaux",471,16.63,"09","09",6,"Automatic","Automatique",18.99
10012824,"FGVU17F8QW*","Gallery",431,"Upright","Verticaux",471,16.63,"09","09",6,"Automatic","Automatique",18.78
10012825,"LFFH17F3QW*","Frigidaire",431,"Upright","Verticaux",471,16.63,"09","09",6,"Automatic","Automatique",18.99
10012826,"LFFH20F3QW*","Frigidaire",480,"Upright","Verticaux",573,20.22,"09","09",8,"Automatic","Automatique",21.72
10012828,"FGVU21F8QW*","Gallery",484,"Upright","Verticaux",581,20.53,"09","09",8,"Automatic","Automatique",21.99
10012829,"FFFH21F4QW*","Frigidaire",484,"Upright","Verticaux",581,20.53,"09","09",8,"Automatic","Automatique",21.72
10012830,"FFFH21F4QT*","Frigidaire",484,"Upright","Verticaux",581,20.53,"09","09",8,"Automatic","Automatique",21.72
10012831,"FFFC16M5QW*","Frigidaire",306,"Chest","Coffre",441,15.58,"10","10",6,"-","-",15.37
10012832,"CFC162QW*","Crosley",306,"Chest","Coffre",441,15.58,"10","10",6,"-","-",15.37
10012833,"FFCH16M5QW*","Frigidaire",275,"Chest","Coffre",441,15.58,"10","10",6,"-","-",13.35
10012983,"LFFH20F3QM*","Frigidaire",480,"Upright","Verticaux",573,20.22,"09","09",8,"Automatic","Automatique",21.72
10012984,"253.21242*","Kenmore",318,"Upright","Verticaux",363,12.82,"08","08",4,"Manual","Non automatique",12.77
10012985,"253.21042*","Kenmore",397,"Upright","Verticaux",593,20.94,"08","08",8,"Manual","Non automatique",19.23
10012986,"253.22442*","Kenmore",436,"Upright","Verticaux",391,13.82,"09","09",5,"Automatic","Automatique",15.5
10012988,"253.27702*","Kenmore",431,"Upright","Verticaux",471,16.63,"09","09",6,"Automatic","Automatique",18.78
10012989,"253.22742*","Kenmore",431,"Upright","Verticaux",471,16.63,"09","09",6,"Automatic","Automatique",18.99
10012990,"253.22042*","Kenmore",480,"Upright","Verticaux",573,20.22,"09","09",8,"Automatic","Automatique",21.72
10012991,"253.27002*","Kenmore",484,"Upright","Verticaux",581,20.53,"09","09",8,"Automatic","Automatique",21.99
10012992,"253.27003*","Kenmore",484,"Upright","Verticaux",581,20.53,"09","09",8,"Automatic","Automatique",21.99
10012993,"253.27009*","Kenmore",484,"Upright","Verticaux",581,20.53,"09","09",8,"Automatic","Automatique",21.99
10012995,"253.12112*","Kenmore",249,"Chest","Coffre",315,11.11,"10","10",3,"-","-",17.9
10012996,"253.12512*","Kenmore",306,"Chest","Coffre",441,15.58,"10","10",6,"-","-",15.37
10012997,"253.17802*","Kenmore",331,"Chest","Coffre",496,17.51,"10","10",7,"-","-",13.61
10012998,"253.17202*","Kenmore",383,"Chest","Coffre",611,21.57,"10","10",9,"-","-",13.41
10013009,"ZIFS360NH****","GE Monogram",615,"Upright","Verticaux",620.705,21.92,"09","09",9,"Automatic","Automatique",15.3
10013010,"ZIFP360NH****","GE Monogram",615,"Upright","Verticaux",620.705,21.92,"09","09",9,"Automatic","Automatique",15.3
10013011,"ZIF360NH****","GE Monogram",615,"Upright","Verticaux",620.705,21.92,"09","09",9,"Automatic","Automatique",15.3
10017261,"DUFM166A1WDB*","Danby",356,"Upright","Verticaux",470.06,16.6,"08","08",6,"Manual","Non automatique",15.131
10017262,"AZC31T22D*","Amana",386,"Chest","Coffre",614.47,21.7,"10","10",9,"-","-",15.602
10017263,"DCFM217A1WDD*","Danby",386,"Chest","Coffre",614.47,21.7,"10","10",9,"-","-",15.602
10017264,"WZC5422D*","Whirlpool",386,"Chest","Coffre",614.47,21.7,"10","10",9,"-","-",15.602
10017265,"WZC3122D*","Whirlpool",386,"Chest","Coffre",614.47,21.7,"10","10",9,"-","-",15.602
10194900,"AZF33X20D*","Amana",525,"Upright","Verticaux",556.42,19.65,"09","09",8,"Automatic","Automatique",18.177
10194901,"ICFF2014A*","Imperial",525,"Upright","Verticaux",556.42,19.65,"09","09",8,"Automatic","Automatique",18.177
10194902,"MZF34X20D*","Maytag",525,"Upright","Verticaux",556.42,19.65,"09","09",8,"Automatic","Automatique",18.177
10194904,"WZF79R20D*","Whirlpool",525,"Upright","Verticaux",556.42,19.65,"09","09",8,"Automatic","Automatique",18.177
10300706,"CCF50M2W","Criterion",218,"Chest","Coffre",142,5,"18","18",0,"-","-",7.6
10300707,"CCF70M2W","Criterion",250,"Chest","Coffre",199,7,"18","18",1,"-","-",6.6
10300708,"CCF10M2W","Criterion",238,"Chest","Coffre",288,10.2,"10","10",3,"-","-",12.4
10300777,"DCF071A3*","Danby",225,"Chest","Coffre",201.2,7.11,"18","18",1,"-","-",9.4
10304689,"970F44853*","Electrolux",509,"Upright","Verticaux",526,18.58,"09","09",7,"Automatic","Automatique",17.09
10990158,"FRF434I","Igloo",174,"Chest","Coffre",100,3.5,"18","18",0,"-","-",5
10990160,"AZF33X16D*","Amana",466,"Upright","Verticaux",444,15.68,"09","09",6,"Automatic","Automatique",12.249
10990161,"ICFF1614A*","Imperial",466,"Upright","Verticaux",444,15.68,"09","09",6,"Automatic","Automatique",12.249
10990162,"MZF34X16D*","Maytag",466,"Upright","Verticaux",444,15.68,"09","09",6,"Automatic","Automatique",12.249
10990163,"WZF34X16D*","Whirlpool",466,"Upright","Verticaux",444,15.68,"09","09",6,"Automatic","Automatique",12.249
10990164,"WZF56R16D*","Whirlpool",466,"Upright","Verticaux",444,15.68,"09","09",6,"Automatic","Automatique",12.249
10990165,"FCM15DH****","GE",297,"Chest","Coffre",419.09,14.8,"10","10",5,"-","-",14.017
10990166,"FCM22DH****","GE",386,"Chest","Coffre",614.47,21.7,"10","10",9,"-","-",15.602
10990306,"253-12502E","Kenmore",220,"Chest","Coffre",143.5,5.07,"18","18",0,"-","-",12
10990307,"253-12702E","Kenmore",254,"Chest","Coffre",203.4,7.18,"18","18",1,"-","-",13
10990308,"253-12402E","Kenmore",194,"Chest","Coffre",98.2,3.47,"18","18",0,"-","-",9
