"REC_REF_KEY","MODEL_NUM_1","BRAND_NAME","AEC_03","TYPE_LABEL_EN","TYPE_LABEL_FR","EQUIP_TYPE_LABEL_EN","EQUIP_TYPE_LABEL_FR","U_TYPE_LABEL_EN","U_TYPE_LABEL_FR","L_TYPE_LABEL_EN","L_TYPE_LABEL_FR","U_COOK_METH_LABEL_EN","U_COOK_METH_LABEL_FR","L_COOK_METH_LABEL_EN","L_COOK_METH_LABEL_FR","U_USABLE_SPACE","L_USABLE_SPACE","NOMINAL_WIDTH_LABEL_EN","NOMINAL_WIDTH_LABEL_FR"
1357449,"OB24SDPX*","Fisher & Paykel",245,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",52,,"24","24"
1404044,"SC712U","Smeg",330,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",72.2,,"27","27"
1404045,"FU67-5","Smeg",220,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",55,,"24","24"
2113553,"SC770U","Smeg",320,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",72.2,,"27","27"
2113554,"SC709XU","Smeg",320,"Built-in","Encastré","Single oven","Four simple","Non self-cleaning","Non autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",72.2,,"27","27"
2116991,"JJW2327+*#","Jenn-Air",317,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","-","-",85,0,"27","27"
2116992,"JJW2427+*#","Jenn-Air",317,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","-","-",85,0,"27","27"
2116995,"JJW2827+*#","Jenn-Air",316,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",85,85,"27","27"
2116996,"JJW2330+*#","Jenn-Air",344,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","-","-",85,0,"30","30"
2116997,"JJW2430+*#","Jenn-Air",344,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",111,111,"30","30"
2116998,"JJW3430+*#","Jenn-Air",344,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",111,111,"30","30"
2117000,"JJW2730+*#","Jenn-Air",342,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",111,111,"30","30"
2117001,"JJW2830+*#","Jenn-Air",342,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",111,111,"30","30"
2117002,"JJW3830+*#","Jenn-Air",342,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake with convection","Cuisson normale avec convection",111,111,"30","30"
2117011,"MEW7630","Maytag",330,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","Normal bake","Cuisson normale",120,120,"30","30"
3472643,"CBIE24*","DeLonghi",245,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",52,,"24","24"
4911339,"MEW7530+#","Maytag",330,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","Normal bake","Cuisson normale",120,,"30","30"
4911340,"MEW9530+#","Maytag",330,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",120,,"30","30"
4911342,"MEW9630+#","Maytag",324,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",120,120,"30","30"
4911343,"MEW7527+#","Maytag",297,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","Normal bake","Cuisson normale",102,,"27","27"
4911347,"WOS51EC0+#","Whirlpool",330,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","Normal bake","Cuisson normale",120,,"30","30"
4911348,"WOS92EC0+#","Whirlpool",330,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",120,,"30","30"
4911350,"WOD93EC0+#","Whirlpool",324,"Built-in","Encastré","Double oven","Four double","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",120,120,"30","30"
4911351,"WOS51EC7+#","Whirlpool",297,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake","Cuisson normale","Normal bake","Cuisson normale",102,,"27","27"
4911352,"WOS92EC7+#","Whirlpool",297,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","Self-cleaning","Autonettoyante","Normal bake with convection","Cuisson normale avec convection","Normal bake","Cuisson normale",102,,"27","27"
5574881,"MED271JS","Thermador",311.651,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",94.61,,"27","27"
5574882,"MEDMCW71JS","Thermador",311.651,"Built-in","Encastré","Single oven","Four simple","Self-cleaning","Autonettoyante","-","-","Normal bake with convection","Cuisson normale avec convection","-","-",94.61,,"27","27"
